SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381350,0.2,374.444,4.169100000000002,5,3,7
COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC1CCN(CC1)C(=O)C=C,648099,0.2,499.9740000000004,4.780000000000004,7,2,9
OC[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccc(CO)cc1)c1ccccc1,51381390,0.2,360.417,3.262700000000001,5,4,6
COc1cc(CO)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381389,0.2,390.443,3.2713,6,4,7
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C(\F)=C\CN(C)C,50249193,0.2,447.8730000000002,4.528000000000004,6,2,7
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC1CCN(CC1)C(=O)C=C,648080,0.2,455.92100000000033,4.763400000000003,6,2,6
CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5464,0.22,374.2420000000001,2.9594000000000005,6,2,5
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,50933654,0.23,469.38700000000017,3.7119000000000018,6,2,6
OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5408,0.24,360.21500000000003,2.9351000000000003,6,3,5
COc1cc2ncnc(Nc3cccc(c3)C(F)(F)F)c2cc1OC,5296,0.24,349.3120000000001,4.409400000000002,5,1,4
OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,50210560,0.245471,360.2150000000001,2.9351000000000003,6,3,5
Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,5281,0.25,270.72300000000007,3.609000000000001,4,2,2
Brc1cccc(Nc2ncnc3cnc(NCCc4cnc[nH]4)nc23)c1,5452,0.25,411.26700000000017,3.3035999999999994,7,3,6
Clc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1,50134757,0.25,324.7710000000001,4.151300000000001,4,2,4
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,50210607,0.251189,411.26700000000017,3.3035999999999994,7,3,6
COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCn1ccnc1[N+]([O-])=O,50258914,0.26,458.4780000000004,4.327200000000003,9,1,10
ONC(=O)CCCCCn1cc(nn1)-c1ccc2ncnc(Nc3cccc(Cl)c3F)c2c1,50535640,0.27,469.9080000000002,4.490200000000003,8,3,9
Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,5535,0.27,371.2630000000001,4.932800000000002,5,2,2
OC(=O)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5485,0.27,388.2250000000001,3.4175000000000013,6,3,6
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,50933657,0.27,431.8990000000002,4.454800000000003,6,2,8
